ID	SizeFraction	Kingdom	Superphylum	Phylum	Class	Order	Family	Genus	Species	Phylum_Cyano	nodesize
bp_ASV_000077	pico	Bacteria	Bacteroidetes	Bacteroidetes	Rhodothermia	Balneolales	Balneolaceae	Balneola	uncultured_bacterium	Bacteroidetes	1
bp_ASV_000078	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_marine_bacterium	Bacteroidetes	1
bp_ASV_000087	pico	Bacteria	Cyanobacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Synechococcus_CC9902	unidentified_marine_bacterioplankton	Synechococcus_CC9902	1
bp_ASV_000095	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_S25-593	Rickettsiales_S25-593	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000096	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_III	SAR11_Clade_III	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000112	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_KI89A	Gammaproteobacteria_KI89A	Gammaproteobacteria_KI89A	uncultured_bacterium	Gammaproteobacteria	1
bp_ASV_000113	pico	Bacteria	Chloroflexi	Chloroflexi	Dehalococcoidia	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	Dehalococcoidia_SAR202	marine_metagenome	Chloroflexi	1
bp_ASV_000116	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	marine_metagenome	Bacteroidetes	1
bp_ASV_000117	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	Puniceispirillales_SAR116	Puniceispirillales_SAR116	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000123	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halieaceae_OM60	uncultured_bacterium	Gammaproteobacteria	1
bp_ASV_000127	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae	Cryomorphaceae_X	uncultured_marine_microorganism	Bacteroidetes	1
bp_ASV_000134	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales_S25-593	Rickettsiales_S25-593	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000135	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	uncultured_marine_bacterium	Gammaproteobacteria	1
bp_ASV_000136	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS2b	uncultured_Flavobacteriia_bacterium	Bacteroidetes	1
bp_ASV_000142	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS5	uncultured_bacterium	Bacteroidetes	1
bp_ASV_000151	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rhodobacteraceae_X	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000159	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS5	uncultured_marine_bacterium	Bacteroidetes	1
bp_ASV_000163	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	Gammaproteobacteria_SAR86	marine_metagenome	Gammaproteobacteria	1
bp_ASV_000170	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	uncultured_actinobacterium_HF0130_15N16	Actinobacteria	1
bp_ASV_000184	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	SAR11	SAR11_Clade_II	SAR11_Clade_II	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000198	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_marine_bacterium	Alphaproteobacteria	1
bp_ASV_000214	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS4	uncultured_Flavobacteriales_bacterium	Bacteroidetes	1
bp_ASV_000222	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillales_AEGEAN-169	Rhodospirillales_AEGEAN-169	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000226	pico	Bacteria	Proteobacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_HOC36	Gammaproteobacteria_HOC36	Gammaproteobacteria_HOC36	uncultured_bacterium	Gammaproteobacteria	1
bp_ASV_000232	pico	Bacteria	Actinobacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	uncultured_bacterium	Actinobacteria	1
bp_ASV_000279	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_X	Alphaproteobacteria_X	Alphaproteobacteria_X	uncultured_bacterium	Alphaproteobacteria	1
bp_ASV_000290	pico	Bacteria	Proteobacteria	Proteobacteria	Alphaproteobacteria	Parvibaculales	Parvibaculales_OCS116	Parvibaculales_OCS116	uncultured_marine_bacterium	Alphaproteobacteria	1
bp_ASV_000341	pico	Bacteria	Bacteroidetes	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae_NS5	uncultured_marine_bacterium	Bacteroidetes	1
